Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,FOMC_Sell_News_Long,Outcome,Entry,SL,TP
2015-12-16 22:00:00,30.2,1.50064,Yes,Long,1,Loss,1.50064,1.49864,1.50464
2016-12-14 21:00:00,50.1,1.26,Yes,Long,1,Loss,1.26,1.258,1.264
2016-12-14 22:00:00,50.0,1.25496,Yes,Long,1,Loss,1.25496,1.25296,1.25896
2017-03-15 23:00:00,25.0,1.2289,Yes,Long,1,Loss,1.2289,1.2269,1.2329
2017-06-14 22:00:00,25.0,1.27439,Yes,Long,1,Loss,1.27439,1.27239,1.27839
2017-12-13 23:00:00,25.0,1.34158,Yes,Long,1,Loss,1.34158,1.33958,1.34558
2018-03-21 23:00:00,61.2,1.41382,Yes,Long,1,Win,1.41382,1.41182,1.41782
2018-06-13 21:00:00,15.7,1.33839,Yes,Long,1,Loss,1.33839,1.33639,1.34239
2018-06-13 22:00:00,15.7,1.33564,Yes,Long,1,Win,1.33564,1.33364,1.33964
2018-09-26 22:00:00,58.5,1.31819,Yes,Long,1,Loss,1.31819,1.31619,1.32219
2018-12-19 21:00:00,25.0,1.26225,Yes,Long,1,Win,1.26225,1.26025,1.26625
2020-03-03 22:00:00,25.0,1.28085,Yes,Long,1,Loss,1.28085,1.27885,1.28485
2021-11-10 21:00:00,25.0,1.34135,Yes,Long,1,Loss,1.34135,1.33935,1.34535
2022-03-09 23:00:00,0.0,1.31798,Yes,Long,1,Loss,1.31798,1.31598,1.32198
2022-03-16 22:00:00,25.0,1.31466,Yes,Long,1,Loss,1.31466,1.31266,1.31866
2022-05-04 21:00:00,0.0,1.24881,Yes,Long,1,Loss,1.24881,1.24681,1.25281
2022-06-10 21:00:00,0.0,1.23059,Yes,Long,1,Loss,1.23059,1.22859,1.23459
2022-09-21 23:00:00,25.0,1.12827,Yes,Long,1,Loss,1.12827,1.12627,1.13227
2022-11-02 21:00:00,31.0,1.13946,Yes,Long,1,Loss,1.13946,1.13746,1.14346
2022-12-14 21:00:00,64.1,1.24031,Yes,Long,1,Win,1.24031,1.23831,1.24431
2023-02-01 23:00:00,25.0,1.23727,Yes,Long,1,Loss,1.23727,1.23527,1.24127
2023-03-22 22:00:00,85.4,1.22631,Yes,Long,1,Win,1.22631,1.22431,1.23031
2023-05-03 23:00:00,22.3,1.25516,Yes,Long,1,Win,1.25516,1.25316,1.25916
2024-09-11 22:00:00,25.0,1.30435,Yes,Long,1,Win,1.30435,1.30235,1.30835
2025-01-15 23:00:00,25.0,1.22374,Yes,Long,1,Loss,1.22374,1.22174,1.22774
2025-04-10 23:00:00,50.0,1.29692,Yes,Long,1,Win,1.29692,1.29492,1.30092
